thread 0, found no, slice -1, position -1
thread 1, found no, slice -1, position -1
thread 2, found no, slice -1, position -1
thread 3, found no, slice -1, position -1
thread 4, found no, slice -1, position -1
thread 5, found no, slice -1, position -1
thread 6, found no, slice -1, position -1
thread 7, found no, slice -1, position -1
thread 8, found no, slice -1, position -1
thread 9, found no, slice -1, position -1
thread 10, found no, slice -1, position -1
thread 11, found no, slice -1, position -1
thread 12, found no, slice -1, position -1
thread 13, found no, slice -1, position -1
thread 14, found no, slice -1, position -1
thread 15, found no, slice -1, position -1
thread 16, found no, slice -1, position -1
thread 17, found no, slice -1, position -1
thread 18, found no, slice -1, position -1
thread 19, found no, slice -1, position -1
thread 20, found no, slice -1, position -1
thread 21, found no, slice -1, position -1
thread 22, found no, slice -1, position -1
thread 23, found no, slice -1, position -1
thread 24, found no, slice -1, position -1
thread 25, found no, slice -1, position -1
thread 26, found no, slice -1, position -1
thread 27, found no, slice -1, position -1
thread 28, found no, slice -1, position -1
thread 29, found no, slice -1, position -1
thread 30, found no, slice -1, position -1
thread 31, found no, slice -1, position -1
thread 32, found no, slice -1, position -1
thread 33, found no, slice -1, position -1
thread 34, found no, slice -1, position -1
thread 35, found no, slice -1, position -1
thread 36, found no, slice -1, position -1
thread 37, found no, slice -1, position -1
thread 38, found yes, slice 38, position 95759
thread 39, found no, slice -1, position -1
478.575945
